figure,panel,section,claim_supported,evidence_status,summary_file,raw_file,plot_script,analysis_script,config_file,checksum_summary,checksum_raw,last_verified_utc,notes
Fig1,A,Results,Best average dual-ledger trade-off in the registered benchmark,complete,results/unified_comparison_ci.csv,results/unified_comparison/unified_comparison_detail.csv,scripts/run_unified_comparison_ci.py,scripts/run_unified_comparison_ci.py,pending/configs/unified_comparison.yaml,96d135c9b007128c84241b3effec78a7223b8eb05968b91726ed685c09bb6c5b,cfa7e6041f0107de1a3e76bda63baa4492d6cb3acfd9fedd0b585711af5b11ea,2026-05-01T11:11:45Z,Headline benchmark evidence with parameter-matched digital surrogate included.
Fig1,B,Results,Held-out object-family shift remains harder than held-out aberration generalization,complete,results/tables/unified_comparison_by_ledger.csv,results/tables/unified_comparison_by_ledger_detail.csv,scripts/export_dual_ledger_tables.py,scripts/export_dual_ledger_tables.py,pending/configs/unified_comparison.yaml,7e33944b3685719ddf6f974557842b28e4679be9d864b7fd6c816ff573a4f598,a12278b7a5471c13deba5ca6e9f4928a6af2c89daba1d9641a5bd40a2130ba0c,2026-05-01T11:11:45Z,Formal by-ledger submission table with parameter-matched digital surrogate added.
Fig2,A,Results,Synthetic-only transfer to staged public Kodak and UCID images fails strongly,complete,results/natural_objects/natural_object_summary.json,results/natural_objects/natural_object_metrics.csv,scripts/run_natural_object_evaluation.py,scripts/run_natural_object_evaluation.py,pending/configs/natural_object_eval.yaml,b17626266a9745aa0b6d803d5ceae9502002c5c992bb34e1a42221e130a1162b,360c822d60c5b62654bf91f2874f648487d0aea013b9b5f6854eb0505020fd73,2026-05-01T13:54:00Z,Executed on real public-open-data subsets rather than proxy placeholders; not benchmark-root ImageNet/COCO evidence
Fig2,B,Results,Mixed training reduces the natural-image failure but remains dataset-dependent across Kodak and UCID after thickened validation,complete,results/natural_objects/mixed_train_natural_object_thickstats_summary.json,results/natural_objects/mixed_train_natural_object_thickstats_metrics.csv,scripts/run_mixed_train_natural_object_thickstats.py,scripts/run_mixed_train_natural_object_thickstats.py,pending/configs/mixed_train_natural_thickstats.yaml,93b41926f363ef018290976264629e31cca9704ead00bba8320b46c912028e31,30c3e3d595293780dbb73635fb1a4a1ecb89bddd5523f495e8dfa609385a0883,2026-05-01T13:54:00Z,UCID becomes reproducibly positive whereas Kodak remains mildly negative
Fig3,A,Results,Common perturbations preserve positive gain on UCID but not on Kodak under the public-data branch,simulation-only,results/tolerance/mixed_train_tolerance_summary.json,results/tolerance/mixed_train_tolerance_metrics.csv,scripts/run_mixed_train_tolerance.py,scripts/run_mixed_train_tolerance.py,pending/configs/mixed_train_tolerance.yaml,b891a02dbc23a133bc94dd9cbcfbfd51895802f09808b4f106ad6eff613f4093,3978018e0a8ee038f0dbac129f213601088764c14b50377fe2abb29c2b849519,2026-05-01T13:54:00Z,First-order simulated tolerance diagnosis on public Kodak/UCID data; not hardware validation
Fig3,B,Results,Phase-mask quantization and lateral shift remain dominant vulnerabilities on both public datasets,simulation-only,results/tolerance/mixed_train_tolerance_summary.json,results/tolerance/mixed_train_tolerance_metrics.csv,scripts/run_mixed_train_tolerance.py,scripts/run_mixed_train_tolerance.py,pending/configs/mixed_train_tolerance.yaml,b891a02dbc23a133bc94dd9cbcfbfd51895802f09808b4f106ad6eff613f4093,3978018e0a8ee038f0dbac129f213601088764c14b50377fe2abb29c2b849519,2026-05-01T13:54:00Z,Engineering perturbation evidence remains simulation-only
Fig4,A,Results,Robust-mask training strongly repairs first-order failures on UCID and sharply improves Kodak,simulation-only,results/tolerance/robust_mask_tolerance_compare.json,results/tolerance/robust_mask_tolerance_compare.csv,scripts/run_robust_mask_tolerance_compare.py,scripts/run_robust_mask_tolerance_compare.py,pending/configs/robust_mask_tolerance_compare.yaml,120a0f99a47d765de6839e3dcb2b5e272f5518cd6a99fc4c1af1ccbf6ddba524,e75672571f8c9295fe1b5148d6eaf05880b99771d3ce7603dfcaf53d08e1f2ce,2026-05-01T13:54:00Z,UCID turns strongly positive in clean and first-order perturbation cases; Kodak improves to near-zero but remains slightly negative
Fig4,B,Results,Two-pixel lateral shift remains catastrophic on both public datasets after robust-mask training,simulation-only,results/tolerance/robust_mask_tolerance_compare.json,results/tolerance/robust_mask_tolerance_compare.csv,scripts/run_robust_mask_tolerance_compare.py,scripts/run_robust_mask_tolerance_compare.py,pending/configs/robust_mask_tolerance_compare.yaml,120a0f99a47d765de6839e3dcb2b5e272f5518cd6a99fc4c1af1ccbf6ddba524,e75672571f8c9295fe1b5148d6eaf05880b99771d3ce7603dfcaf53d08e1f2ce,2026-05-01T13:54:00Z,Must remain in main-text limitation language
FigS1,A,Supplementary,Negative tail under object-family shift is structured rather than uniform,complete,results/failure_cases/object_shift_failure_cases_summary.json,results/failure_cases/object_shift_failure_cases.csv,scripts/generate_object_shift_failure_cases.py,scripts/generate_object_shift_failure_cases.py,pending/configs/object_shift_failure_cases.yaml,38d6e2282c1d09728c363c8fe95226e2b6c13bf1a5237a55c7dc921cf030ab3e,a9f2c450367a40c39f130b5b9b44bdd685bdc88d1dd2179a2e260786b0b05cdf,2026-05-01T10:42:19Z,Supplementary figure candidate tied to failure-case panel
TableS1,A,Supplementary,Optical and digital degrees of freedom are separated across comparators,complete,results/tables/method_fairness_table.csv,results/tables/method_fairness_table.csv,manuscript/supplementary-methods-and-tables-v1.md,manuscript/supplementary-methods-and-tables-v1.md,not_applicable,67900818bc659c07fa862f2a22bab0f08c62290906def5bfda9c0e42b344dd33,67900818bc659c07fa862f2a22bab0f08c62290906def5bfda9c0e42b344dd33,2026-05-01T11:11:45Z,Updated fairness table now includes the parameter-matched digital comparator.
